Trondheim N3031;Leangen 2024;Trondheim 2023;Trondheim ekstrem
-0.62;-0.30;0.40;-0.40
-0.92;0.50;0.40;-0.10
-0.67;-0.80;0.00;0.10
-0.22;-0.70;0.20;-0.20
-0.27;-0.50;-0.70;-0.40
-0.12;-0.40;-0.90;-0.90
0.13;-0.30;-3.50;-1.60
0.18;-0.20;-4.20;-2.20
0.13;-0.10;-5.60;-1.80
-0.52;0.10;-4.60;-1.60
-0.62;0.20;-5.70;-1.60
-0.72;-0.30;-4.30;-1.30
-1.02;-0.80;-2.70;-1.40
-1.62;-1.30;-2.10;-1.30
-1.72;-1.80;-2.60;-1.50
-1.22;-2.00;-2.10;-1.50
-1.17;-2.30;-0.50;-1.70
-1.17;-2.60;-1.00;-2.10
-0.82;-2.80;0.20;-2.10
-0.82;-3.00;0.90;-1.60
-0.67;-3.00;1.70;-1.60
-0.27;-2.50;2.10;-1.30
-0.02;0.20;2.40;-1.10
0.38;0.10;2.40;-1.30
0.43;0.70;2.40;-1.40
0.33;0.80;2.30;-1.40
0.33;-0.20;2.60;-1.10
0.38;-0.40;2.50;-0.90
0.38;-0.50;2.60;-0.60
0.53;-0.70;2.20;-0.40
0.83;-0.80;2.40;-0.70
0.83;-1.00;1.90;-0.60
0.48;-1.10;1.30;-0.80
0.23;-1.30;1.80;-1.10
-0.17;-1.40;1.50;-1.20
-0.57;-1.40;-0.20;-1.30
-0.82;-1.30;-1.40;-1.70
-0.97;-1.20;-1.10;-1.80
-0.77;-1.10;-2.10;-2.00
-0.77;-1.00;-2.00;-2.10
-0.77;-0.90;-0.80;-2.40
-0.97;-0.80;-0.90;-2.60
-1.27;-0.80;-0.90;-2.50
-1.52;-0.70;-0.70;-2.80
-1.37;-0.60;-1.10;-2.60
-1.47;3.30;-0.60;-2.10
-1.17;4.60;-0.30;-1.90
-0.72;5.50;-1.50;-1.70
-0.22;5.50;0.00;-1.90
-0.42;4.40;-1.60;-2.10
-0.32;3.20;-1.90;-2.10
-0.27;3.20;-3.00;-2.40
-0.52;3.20;-2.00;-2.40
-0.37;3.10;-3.80;-2.60
-0.42;3.10;-3.40;-4.00
-0.12;3.10;-2.90;-4.90
0.13;3.10;-3.10;-3.20
0.18;3.00;-3.50;-3.20
0.18;3.10;-2.80;-3.60
0.28;2.90;-3.20;-3.60
0.53;2.70;-2.30;-2.40
0.43;2.50;-2.00;-2.10
0.23;2.30;-2.20;-2.40
0.23;2.40;-2.70;-2.70
0.28;2.30;-1.00;-3.60
0.33;2.30;-0.90;-3.20
0.58;2.30;-2.10;-2.90
0.43;2.30;-2.10;-2.60
0.53;2.40;-3.10;-2.10
0.83;2.90;-3.50;-1.80
0.88;6.00;-3.10;-1.40
0.93;7.90;-2.60;-1.00
0.98;8.50;-3.00;-0.80
0.93;7.20;-3.30;-0.70
0.83;6.10;-3.60;-0.30
1.13;5.70;-3.30;-1.00
0.78;5.30;-3.50;-0.90
0.28;4.90;-3.60;-1.20
0.23;4.50;-4.10;-0.70
-0.07;4.10;-4.60;-2.20
-0.27;3.70;-4.50;-3.00
-0.07;3.30;-4.50;-3.40
-0.27;3.00;-4.10;-2.40
-0.37;2.20;-3.50;-4.10
-0.07;1.50;-3.40;-4.60
-0.12;0.70;-3.60;-5.20
-0.07;0.00;-4.10;-4.10
0.43;-0.40;-4.50;-4.40
0.38;-0.80;-3.90;-3.20
0.33;-1.20;-4.70;-1.10
0.83;-1.50;-4.40;-3.20
0.53;-1.80;-4.00;-2.80
0.28;-1.80;-1.40;-3.00
0.48;0.90;-2.70;-3.90
1.08;3.00;-1.30;-3.10
1.68;4.70;-2.70;-3.00
2.33;5.30;0.50;-2.40
2.63;4.80;-0.80;-0.50
2.63;3.10;0.30;-1.70
2.78;2.70;-0.30;-3.50
2.63;2.30;1.20;-3.70
2.43;1.90;0.90;-3.70
2.93;1.60;0.90;-4.60
2.78;1.20;0.90;-3.40
2.23;0.80;0.60;-4.70
2.73;0.40;-0.20;-3.40
3.18;0.10;-0.10;-2.40
3.63;-0.20;-1.40;-2.80
3.08;-0.30;-1.40;-2.80
3.28;-0.50;-1.40;-2.60
3.13;-0.70;-1.80;-3.10
2.88;-0.70;-1.40;-3.10
3.73;-0.80;-2.30;-2.70
4.28;-0.80;-2.90;-2.60
4.83;-0.90;-2.80;-2.60
4.68;-0.90;-3.80;-2.80
4.38;-0.80;-3.00;-2.40
4.33;2.60;-3.40;-2.20
4.13;4.90;-2.60;-2.10
4.03;7.10;-2.30;-1.50
4.18;8.30;-1.80;-1.60
4.13;8.00;-2.00;-1.70
4.28;6.00;-2.70;-2.40
4.83;5.70;-1.90;-2.80
4.98;5.50;-1.20;-2.60
4.98;5.30;-0.90;-2.20
4.68;5.10;-0.70;-2.20
3.93;4.90;0.00;-2.30
4.48;4.70;0.50;-2.00
4.43;4.50;0.60;-2.00
4.58;4.30;2.10;-1.60
4.43;3.90;0.40;-1.60
4.23;3.50;0.20;-1.50
4.43;3.10;0.60;-1.20
3.88;2.70;0.80;-0.90
3.48;2.50;-0.10;-1.00
3.38;2.30;0.60;-1.10
3.08;2.10;0.10;-1.50
2.28;2.00;0.00;-1.90
1.73;1.90;-2.40;-2.80
1.58;1.90;-2.50;-3.20
2.48;3.70;-3.10;-3.70
2.83;5.30;-3.10;-3.10
3.18;6.50;-2.20;-3.50
3.48;7.10;-2.20;-3.90
2.98;6.70;-3.00;-3.90
2.53;5.50;-3.70;-4.40
2.63;5.20;-4.50;-5.40
2.13;4.90;-2.00;-4.90
1.68;4.60;-1.90;-5.00
1.73;4.30;-1.10;-4.40
1.73;3.90;0.40;-4.20
1.93;3.40;0.90;-4.70
1.68;3.40;1.50;-4.30
1.53;3.10;1.70;-4.00
1.43;2.70;1.30;-4.50
1.53;2.40;0.60;-5.60
1.38;2.00;1.30;-5.60
1.08;1.70;2.70;-5.40
1.13;1.60;3.80;-5.30
1.13;1.40;5.50;-5.20
1.33;1.20;3.50;-5.90
1.68;1.00;3.20;-5.40
1.53;0.90;3.40;-5.50
1.08;0.90;3.10;-4.50
1.18;1.00;4.10;-4.90
1.43;1.00;5.30;-4.30
1.63;1.00;3.50;-4.30
1.48;1.00;3.90;-3.90
1.18;0.90;3.90;-3.80
0.88;0.80;3.80;-4.30
1.03;0.60;3.20;-4.00
0.83;0.10;3.40;-3.90
0.73;-0.90;2.70;-4.20
1.13;-0.10;2.30;-4.00
1.43;-0.10;2.50;-4.70
1.58;-0.80;2.40;-5.30
2.03;-0.60;2.30;-4.40
2.13;-0.70;2.20;-3.40
1.98;-1.60;2.30;-4.60
1.88;-2.90;3.10;-3.60
1.83;-3.30;4.60;-3.70
1.63;-4.00;5.00;-4.10
1.73;-4.50;5.10;-4.70
1.68;-5.00;4.10;-4.30
1.73;-5.40;4.40;-6.00
2.13;-5.80;4.80;-4.80
2.03;-6.20;3.70;-5.40
1.68;-6.20;3.30;-4.90
1.73;-5.60;3.40;-5.10
1.73;-5.10;3.80;-4.10
1.88;-4.90;3.80;-3.50
2.23;-4.80;4.50;-3.00
1.93;-5.10;4.00;-2.90
1.93;-5.50;4.20;-3.00
2.38;-6.00;4.90;-2.70
2.28;-6.50;6.40;-2.80
1.98;-6.60;8.20;-2.40
1.83;-7.00;8.40;-2.40
1.58;-7.40;7.70;-2.50
1.23;-7.90;7.90;-1.50
0.88;-8.20;7.90;-1.60
0.68;-8.50;7.80;-1.40
0.58;-8.50;7.80;-1.30
0.68;-8.40;8.00;-0.80
0.73;-8.40;7.70;-0.40
0.78;-8.30;7.80;0.00
0.83;-8.20;8.00;0.40
0.83;-8.10;7.20;0.40
0.88;-8.10;7.10;0.80
0.98;-8.00;6.40;1.40
0.98;-7.90;6.10;1.20
1.03;-7.20;6.10;1.50
0.88;-3.70;6.20;1.60
0.53;1.10;5.80;1.80
0.63;3.60;5.30;2.20
1.13;4.50;5.00;2.20
1.18;3.40;5.40;2.30
0.98;0.90;5.00;2.20
1.03;0.90;4.30;2.20
0.63;0.90;3.90;2.00
0.03;1.00;3.40;2.00
-0.27;1.00;3.00;2.20
-0.62;1.00;2.80;2.50
-0.87;1.00;2.60;1.60
-0.82;1.00;3.30;1.00
-0.97;1.10;3.00;2.50
-1.17;0.80;2.90;0.30
-1.17;0.70;2.40;0.10
-1.32;0.50;2.20;-0.30
-1.47;0.40;1.40;-0.80
-1.42;0.40;1.20;-1.80
-1.97;0.40;0.80;-1.00
-1.67;0.40;0.70;-0.80
-1.92;0.40;0.30;-1.90
-2.12;0.50;0.30;-1.70
-2.37;1.50;0.30;-1.00
-1.72;6.00;0.40;-0.20
-0.97;6.40;0.40;-0.80
-0.47;7.60;0.40;0.20
-0.27;7.60;0.40;0.00
-0.42;7.60;0.60;0.30
-0.97;7.80;0.10;0.30
-1.47;7.40;0.50;-0.20
-1.82;6.90;0.40;-0.30
-2.37;6.50;0.40;-0.60
-3.22;6.10;0.50;0.90
-3.62;5.60;0.20;1.40
-3.77;5.20;0.20;1.60
-3.72;4.80;-0.10;2.00
-3.82;4.30;0.00;2.00
-3.67;3.40;0.10;2.40
-3.87;2.50;-0.20;2.40
-3.62;1.70;-0.10;3.30
-3.47;0.90;0.30;2.00
-3.17;0.50;0.30;1.70
-2.47;0.10;-0.80;1.70
-1.67;-0.20;-0.70;2.00
-3.02;-0.50;0.60;2.60
-3.07;-0.70;-0.80;3.60
-3.17;-0.20;-0.80;3.30
-3.97;3.20;-0.60;2.40
-3.32;6.00;-0.30;2.90
-2.87;8.00;-0.10;3.00
-2.37;7.60;0.20;3.30
-2.47;8.50;0.50;2.20
-2.77;6.60;1.00;0.80
-3.07;6.10;0.60;0.20
-3.42;5.70;1.20;0.10
-3.97;5.20;1.10;-0.10
-3.97;4.80;2.70;-0.10
-3.92;4.30;2.50;-0.30
-4.12;3.90;2.70;-0.40
-4.47;3.40;3.20;-0.70
-4.12;3.00;3.60;-0.80
-3.92;2.20;3.60;-0.50
-3.77;1.30;2.90;0.00
-3.62;0.50;2.60;-0.10
-3.32;-0.30;2.30;0.00
-3.32;-0.70;2.00;-0.10
-3.12;-1.10;2.30;-0.20
-2.37;-1.50;0.90;-0.10
-2.37;-1.80;0.60;-0.40
-1.97;-2.10;1.70;0.10
-1.67;-1.80;1.90;0.10
-2.47;1.80;1.60;-0.10
-1.92;4.10;2.40;0.10
-1.42;5.20;2.40;-0.40
-1.37;4.80;1.60;-0.50
-1.12;3.80;1.40;-0.80
-1.07;2.10;1.00;-1.20
-1.67;1.70;0.70;-1.50
-1.67;1.20;0.90;-1.40
-1.77;0.70;0.80;-1.40
-1.77;0.20;0.70;-1.90
-1.92;-0.30;0.90;-1.70
-2.17;-0.90;1.20;-1.90
-1.77;-1.40;0.80;-2.00
-1.77;-1.90;0.50;-2.30
-2.12;-2.30;0.60;-2.40
-3.27;-2.60;1.00;-2.10
-3.67;-2.90;1.40;-2.40
-3.57;-3.20;1.80;-2.70
-3.62;-3.40;2.10;-2.80
-3.32;-3.50;2.30;-2.90
-2.47;-3.60;3.00;-2.90
-3.17;-3.60;2.50;-2.70
-2.67;-3.60;3.20;-2.90
-2.42;-3.00;2.90;-3.40
-2.02;2.80;4.00;-3.90
-1.42;5.40;3.90;-4.00
-0.87;7.60;4.10;-4.30
-0.47;7.60;3.80;-4.50
-0.37;7.60;3.80;-3.40
-0.42;6.90;3.60;-5.10
-0.27;6.50;3.50;-3.90
-0.42;6.10;3.60;-4.00
-1.07;5.60;3.50;-4.40
-1.52;5.20;3.20;-4.70
-1.12;4.80;2.40;-5.30
-0.57;4.40;2.60;-5.40
-1.27;3.90;2.30;-7.00
-1.07;3.50;2.00;-7.70
-0.82;2.70;1.50;-8.60
-1.37;2.00;2.30;-8.60
-1.72;1.20;2.40;-8.50
-2.17;0.50;2.00;-8.80
-2.87;0.10;3.50;-8.70
-2.87;-0.20;3.90;-9.40
-2.52;-0.50;2.70;-8.70
-3.62;-0.70;2.80;-8.80
-3.47;-1.00;3.10;-8.40
-3.52;-0.70;2.10;-8.70
-2.97;2.50;1.50;-9.10
-1.77;4.40;0.80;-8.70
-0.72;6.50;0.90;-8.60
-0.42;8.20;2.10;-8.60
-0.47;8.40;2.70;-9.20
-0.82;6.70;1.70;-10.20
-2.17;6.30;1.80;-10.60
-2.62;5.80;0.70;-10.60
-3.32;5.30;1.20;-11.20
-3.47;4.90;0.50;-12.00
-3.62;4.40;1.80;-13.60
-3.77;4.00;1.30;-13.50
-4.62;3.50;1.80;-11.90
-4.57;3.00;0.80;-12.50
-4.62;2.40;0.50;-12.80
-5.32;1.90;0.40;-12.80
-5.27;1.50;0.20;-13.80
-5.27;1.10;0.40;-13.10
-5.62;1.00;0.10;-14.30
-5.42;0.90;0.00;-14.80
-4.87;0.80;-0.40;-15.30
-6.22;0.80;-0.90;-15.30
-5.92;0.80;-1.50;-12.90
-5.62;2.00;-1.50;-14.80
-5.47;5.60;-1.30;-13.50
-4.02;7.40;-0.90;-11.30
-2.57;7.60;-1.80;-10.90
-2.97;7.60;-2.20;-11.00
-2.57;7.60;-2.30;-11.70
-2.92;8.10;-3.40;-11.70
-5.84;8.20;-2.90;-11.80
-5.71;8.20;-3.30;-12.10
-5.57;8.20;-3.90;-14.40
-5.44;8.30;-3.90;-14.70
-5.30;8.30;-5.50;-14.60
-5.17;8.30;-5.80;-12.10
-5.03;8.40;-6.80;-12.30
-4.90;8.40;-7.70;-12.80
-4.76;7.60;-6.80;-12.70
-4.63;6.70;-8.10;-12.30
-4.49;5.80;-9.20;-11.80
-4.36;4.90;-6.70;-11.70
-4.22;4.50;-8.20;-11.60
-4.09;4.00;-9.60;-11.50
-3.96;3.50;-7.60;-11.60
-3.82;3.10;-7.00;-12.00
-1.17;2.70;-7.80;-10.80
-0.52;2.80;-7.70;-11.50
-0.52;3.80;-8.00;-13.00
